"번호","메뉴","끼니","간편 링크에 붙여 넣을 쿠팡 주소","파트너스 링크"
"81","훠궈","저녁","https://www.coupang.com/np/search?q=%ED%9B%A0%EA%B6%88%20%EC%9E%AC%EB%A3%8C",""
"82","깐풍기","저녁","https://www.coupang.com/np/search?q=%EA%B9%90%ED%92%8D%EA%B8%B0%20%EC%9E%AC%EB%A3%8C",""
"83","양장피","저녁","https://www.coupang.com/np/search?q=%EC%96%91%EC%9E%A5%ED%94%BC%20%EC%9E%AC%EB%A3%8C",""
"84","딤섬","저녁","https://www.coupang.com/np/search?q=%EB%94%A4%EC%84%AC%20%EC%9E%AC%EB%A3%8C",""
"85","샤브샤브","저녁","https://www.coupang.com/np/search?q=%EC%83%A4%EB%B8%8C%EC%83%A4%EB%B8%8C%20%EC%9E%AC%EB%A3%8C",""
"86","스키야키","저녁","https://www.coupang.com/np/search?q=%EC%8A%A4%ED%82%A4%EC%95%BC%ED%82%A4%20%EC%9E%AC%EB%A3%8C",""
"87","모둠 사시미","저녁","https://www.coupang.com/np/search?q=%EB%AA%A8%EB%91%A0%20%EC%82%AC%EC%8B%9C%EB%AF%B8%20%EC%9E%AC%EB%A3%8C",""
"88","오코노미야키","저녁","https://www.coupang.com/np/search?q=%EC%98%A4%EC%BD%94%EB%85%B8%EB%AF%B8%EC%95%BC%ED%82%A4%20%EC%9E%AC%EB%A3%8C",""
"89","야키토리","저녁","https://www.coupang.com/np/search?q=%EC%95%BC%ED%82%A4%ED%86%A0%EB%A6%AC%20%EC%9E%AC%EB%A3%8C",""
"90","텐동","저녁","https://www.coupang.com/np/search?q=%ED%85%90%EB%8F%99%20%EC%9E%AC%EB%A3%8C",""
"91","스테이크","저녁","https://www.coupang.com/np/search?q=%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC%20%EC%9E%AC%EB%A3%8C",""
"92","감바스","저녁","https://www.coupang.com/np/search?q=%EA%B0%90%EB%B0%94%EC%8A%A4%20%EC%9E%AC%EB%A3%8C",""
"93","라자냐","저녁","https://www.coupang.com/np/search?q=%EB%9D%BC%EC%9E%90%EB%83%90%20%EC%9E%AC%EB%A3%8C",""
"94","피시 앤 칩스","저녁","https://www.coupang.com/np/search?q=%ED%94%BC%EC%8B%9C%20%EC%95%A4%20%EC%B9%A9%EC%8A%A4%20%EC%9E%AC%EB%A3%8C",""
"95","월남쌈","저녁","https://www.coupang.com/np/search?q=%EC%9B%94%EB%82%A8%EC%8C%88%20%EC%9E%AC%EB%A3%8C",""
"96","포케","저녁","https://www.coupang.com/np/search?q=%ED%8F%AC%EC%BC%80%20%EC%9E%AC%EB%A3%8C",""
"97","두부조림","저녁","https://www.coupang.com/np/search?q=%EB%91%90%EB%B6%80%EC%A1%B0%EB%A6%BC%20%EC%9E%AC%EB%A3%8C",""
"98","도토리묵무침","저녁","https://www.coupang.com/np/search?q=%EB%8F%84%ED%86%A0%EB%A6%AC%EB%AC%B5%EB%AC%B4%EC%B9%A8%20%EC%9E%AC%EB%A3%8C",""
"99","닭가슴살 샐러드","저녁","https://www.coupang.com/np/search?q=%EB%8B%AD%EA%B0%80%EC%8A%B4%EC%82%B4%20%EC%83%90%EB%9F%AC%EB%93%9C%20%EC%9E%AC%EB%A3%8C",""
